Account,Marketing Strategist,Total Package Hours,Hours for Strategist,Blog,SMM,SEO,PPC,ORM,Ads_Customer_ID,GA4_ID,SC URL: ,Website,ga4_property_id,basecamp_project_id,harvest_project_id,harvest_client_id,tier
Animal ER of Northwest Houston,Low Contact,1,1,0,N,Foundation,N,N,3514468917,,https://www.animalernwh.com/,animalernwh.com,502811072,19895756,44386084,16148031,Low Contact
True Care Veterinary Hospital,Daniel,5,3,1,Premium,Premium Plus,N,N,8571024484,,https://www.truecareveterinaryhospital.com/,truecareveterinaryhospital.com,#N/A,,,,
Long Meadow Veterinary Clinic,Alex,4,2.5,1,N,Premium Plus,N,N,8813787750,,https://www.longmeadowvetclinic.com/,longmeadowvetclinic.com,502831217,19895756,44386067,16148021,Core
Blue Ravine Animal Hospital,Daniel,7,5.5,1,N,Premium Plus,N,Foundation,N,,https://www.blueravineanimalhospital.com/,blueravineanimalhospital.com,358329317,3250437,31966746,11864520,Growth
Sky Canyon Animal Hospital,Alex,5,3.5,1,N,Premium Plus,N,Foundation,N,,https://www.skycanyonanimalhospital.com/,skycanyonanimalhospital.com,363054202,16285128,31967953,11864706,Growth
Parkside Animal Hospital,Melissa/Stephanie,10,8.5,1,Premium,Premium Plus,N,Foundation,N,,https://parksidevet.ca/,parksidevet.ca,270031737,14444452,31967777,11864674,Enterprise
Ten West Bird & Animal Hospital,Melissa/Stephanie,10,8.5,1,Premium,Premium Plus,N,Foundation,N,,https://www.tenwestvet.com/,tenwestvet.com,411828567,6736124,31968033,11864722,Enterprise
Animal Care Unlimited,Alex,3,1.5,1,N,Foundation,N,N,N,,https://www.animalcareunlimited.com/,animalcareunlimited.com,373660751,6195852,31965896,11864490,Core
South Seminole Animal Hospital,Alex,3,1.5,1,N,Foundation,N,N,N,,https://www.southseminoleanimalhospital.com/,southseminoleanimalhospital.com,363100782,15446583,31967975,11864710,Core
Family Pet Veterinary Practice,Low Contact,1,1,0,N,Foundation,N,N,N,,https://www.familypetvetpractice.com/,familypetvetpractice.com,372270343,8247879,45317195,11864585,Low Contact
Minnesota Veterinary Neurology,Stephanie,1,1,0,N,Foundation,N,N,N,,https://www.mnveterinaryneurology.com/,mnveterinaryneurology.com,452476704,19132643,43871880,15106913,Low Contact
Summeridge Animal Clinic,Low Contact,1,1,0,N,Foundation,N,N,N,,https://www.summeridgeanimalclinic.com/,summeridgeanimalclinic.com,,4698237,31967994,11864715,Low Contact
Wantage Veterinary Hospital,Low Contact,1,1,0,N,Foundation,N,N,N,,https://wantagevet.net/,wantagevet.net,#N/A,,,,
Englishtown Vet MD,Beth,2,0.5,1,N,N,N,N,N,,https://www.englishtownvet.com/,englishtownvet.com,443684019,14973059,31967630,11864580,Low Contact
RPVH - Sacramento Cat Hospital,Daniel/Tom,10,8.5,1,N,N,N,N,N,,https://www.sacramentocathospital.com/,sacramentocathospital.com,436117930,19427427,39379058,14534003,Enterprise
"RPVH - Rocklin Park Veterinary Hospital, Inc",Daniel/Tom,10,10,0,N,N,N,N,N,,https://rocklinparkvet.com/,rocklinparkvet.com,439393433,19329623,39590086,14258108,Enterprise
Grace Animal Hospital,Melissa,3,3,0,Premium,N,N,N,N,,https://www.mygracevet.com/,mygracevet.com,366628410,14172107,44388822,11864595,Core
Northern Valley Livestock Services,Melissa,3,3,0,Premium,N,N,N,N,,https://www.nvls.vet/,nvls.vet,525254155,20138652,47176481,17229378,Core
The Gentle Vet,Melissa,3,3,0,Premium,N,N,N,N,,https://thegentlevetdvm.com/,thegentlevetdvm.com,#N/A,,,,
All Creatures Veterinary Hospital of Brooklyn,Alex,2,2,0,N,Premium,N,N,N,,https://www.allcreaturesvetbrooklyn.com/,allcreaturesvetbrooklyn.com,356262038,6030321,,,Low Contact
Animal Emergency and Referral Center of Minnesota,Low Contact,2,2,0,N,Premium,N,N,N,,https://aercmn.com/,#N/A,#N/A,,,,
Animal Health Centre,Low Contact,2,2,0,N,Premium,N,N,N,,https://www.animalhealthcentre.com/,animalhealthcentre.com,386650309,7336709,31966389,11864492,Low Contact
Ironhorse Veterinary Care,Low Contact,2,2,0,N,Premium,N,N,N,,https://www.ironhorseveterinarycare.com/,ironhorseveterinarycare.com,373722091,10242338,31967515,11864619,Low Contact
Mountainview Small Animal Hospital,Low Contact,2,2,0,N,Premium,N,N,N,,https://www.mountainviewveterinarians.com/,mountainviewveterinarians.com,316845387,4938770,31967648,11864647,Low Contact
Quitman Animal Clinic,Low Contact,2,2,0,N,Premium,N,N,N,,https://www.quitmananimalclinic.net/,quitmananimalclinic.net,,10335643,31967888,11864693,Low Contact
Travelers Rest Animal Hospital,Low Contact,2,2,0,N,Premium,N,N,N,,https://www.travelersrestanimalhospital.com/,travelersrestanimalhospital.com,#N/A,,,,
Marcum Road Animal Hospital,Daniel,6,5.5,0,Premium,Premium,N,N,N,,https://www.marcumroadvet.com/,marcumroadvet.com,,15067560,31967607,11864635,Growth
BranchVet,Stephanie,4,2.5,1,N,Premium Plus,N,N,N,,https://branchvet.com/,branchvet.com,482179918,19768829,43935766,15548981,Core
Crossroads Animal Hospital (VA),Alex,4,2.5,1,N,Premium Plus,N,N,N,,https://www.xroadsanimalhospital.com/,xroadsanimalhospital.com,411827901,19243187,39578458,14019319,Core
Family Pet Hospital of Stone Oak,Alex,4,2.5,1,N,Premium Plus,N,N,N,,https://www.familypethospitalofstoneoak.net/,familypethospitalofstoneoak.net,372001633,15582314,31967371,11864584,Core
Four Winds Farm and Equine,Alex,5,3.5,1,N,Premium Plus,N,N,N,,https://fourwindsequine.com/,fourwindsequine.com,,13858231,31967401,11864591,Growth
Ohana Animal Hospital,Alex,5,3.5,1,N,Premium Plus,N,N,N,,https://www.theohanaanimalhospital.com/,theohanaanimalhospital.com,373717880,12337083,31967716,11864665,Growth
Orchard Park Veterinary Medical Center,Alex,5,3.5,1,N,Premium Plus,N,N,N,,https://www.opvmc.com/,opvmc.com,373716875,3261835,31967750,11864668,Growth
Shiloh Veterinary Hospital,Alex,8,6.5,1,N,Premium Plus,N,N,N,,https://www.shilohsvet.com/,shilohsvet.com,391073120,15977668,31967948,11864705,Growth
Borgfeld Animal Hospital,Stephanie,7,5,1,Premium Plus,Premium,N,N,N,,https://www.borgfeldah.com/,borgfeldah.com,305866830,18471306,40605419,11864523,Growth
Lone Tree Veterinary Medical Center,Stephanie,15,14.5,0,Premium Plus,Premium Plus,N,N,N,,https://www.lonetreevet.com/,lonetreevet.com,373716875,7944286,31967592,11864631,Enterprise
Oakland Veterinary Referral Services - OVRS,Daniel,5,5,0,N,Premium,N,Premium,N,,https://www.ovrs.com/,ovrs.com,359304073,3225731,31967707,11864662,Growth
Lincolnshire Animal Hospital,Daniel,10,9.5,0,Premium,Premium,N,Premium,N,,https://www.lincolnshireanimalhospital.com/,lincolnshireanimalhospital.com,375198749,16417886,31967589,11864629,Enterprise
Beverly Hills Veterinary Associates,Stephanie,12,9,2,N,Premium,N,Premium,N,,https://www.beverlyhillsvets.com/,beverlyhillsvets.com,386883212,3315416,38960937,11864517,Enterprise
Crossover Veterinary Clinic,Stephanie,7,5.5,1,N,Premium,N,Premium,N,,https://crossovervet.net/,crossovervet.net,453536052,19584580,40916997,15011569,Growth
BEEVET Animal Hospital,Stephanie,15,13,1,Premium Plus,Premium,N,Premium,N,,https://www.mybeevet.com/,mybeevet.com,,10241803,31966685,11864512,Enterprise
The Vet Gal and Guys,Stephanie,7,5,1,Premium Plus,Premium,N,Premium,N,,https://thevetgal.com/,thevetgal.com,#N/A,,,,
Northside Paws Veterinary Care,Daniel,5,4.5,0,Premium Plus,Premium,N,Premium,N,,https://northsidepawsvet.com/,northsidepawsvet.com,328820365,18662938,38960811,12145384,Growth
South Texas Avian & Exotic Hospital,Daniel,7,5.5,1,N,Premium Plus,Premium,N,1197238995,,https://southtexasavian.com/,southtexasavian.com,446652102,19364745,39378965,14395139,Growth
Jenison Animal Hospital,Stephanie,4,4,0,N,Premium,Premium,N,2879640205,,https://jenisonanimalhospital.com/,jenisonanimalhospital.com,423992954,19379560,43871825,14410545,Core
Texas Avian & Exotic Hospital,Daniel,7,5.5,1,N,Premium Plus,Premium,N,3832585778,,https://texasavian.com/,texasavian.com,428812171,19356649,39591012,14327819,Growth
Dr. Boe's Veterinary Essentials,Low Contact,2,2,0,N,N,Premium,N,4955885419,,https://drboes.com/,drboes.com,,20001654,45315921,16469517,Low Contact
Glenridge Animal Hospital and Referral Centre,Alex,6,4.5,1,N,Premium Plus,Premium,N,8731159999,,https://glenridgeanimalhospital.com/,glenridgeanimalhospital.com,,19900291,,,Growth
Oroville Animal Health Center,Melissa/Stephanie,10,8,1,Premium,Premium Plus,Premium,Foundation,9185355101,,https://www.orovilleanimalhealthcenter.com/,orovilleanimalhealthcenter.com,305904992,19215631,31967757,11864670,Enterprise
The Neighborhood Vets,Alex,3,3,0,N,Foundation,Premium,N,9927008337,,https://www.tnvwashpark.com/,tnvwashpark.com,#N/A,,,,
Central Coast,Low Contact,2,2,N,N,N,Premium,N,Needs added,,https://www.centralcoastveterinaryclinic.com/,#N/A,#N/A,,,,
Vetama,Low Contact,2,2,N,N,N,Premium,N,Needs added,,https://vetama.com/,vetama.com,#N/A,,,,
Capital Home Veterinary Care,Alex,4,4,0,N,Premium,Premium,N,8796879878,,https://www.capitalhomevetcare.com/,capitalhomevetcare.com,415506869,19192517,43872047,13861718,Core
Healing Paws Animal Hospital,Alex,6,4.5,1,N,Premium Plus,Premium,N,Check on services,,https://healingpawsah.com/,healingpawsah.com,279366691,19883400,44010671,16018525,Growth
Pet Dominion Animal Hospital,Melissa/Stephanie,9,7.5,1,Premium,Premium Plus,Premium,N,2108476209,,https://www.petdominion.com/,petdominion.com,478602517,19758649,42519753,15519244,Growth
Switzer Veterinary Clinic,Melissa/Stephanie,10,8.5,1,Premium,Premium Plus,Premium,N,Check on services,,https://switzerveterinaryclinic.com/,switzerveterinaryclinic.com,,18934441,36832368,11864721,Enterprise
All Critters Veterinary Hospital,Stephanie,5,3.5,1,N,Premium,Premium,N,1614982542,,https://allcrittersvet.com/,allcrittersvet.com,390230277,18792781,39574891,12481178,Growth
Volunteer Veterinary Hospital,Stephanie,10,8,1,Premium Plus,Premium Plus,Premium,N,Check on services,,https://www.volvethosp.com/,volvethosp.com,#N/A,,,,
Animal Medical Hospital & Urgent Care (NC),Stephanie,10,8.5,1,N,Premium Plus,Premium,Premium,verify account,,https://www.animalmedical.net/,animalmedical.net,,5725090,,,Enterprise
RPVH - East Sacramento Veterinary Center,Daniel/Tom,10,8.5,1,N,Premium Plus,Premium,Premium,7580122988,,https://www.eastsacvet.com/,eastsacvet.com,373384003,16091953,31966602,11864572,Enterprise
RPVH - Lincoln Hills Veterinary Hospital,Daniel/Tom,10,8.5,1,N,Premium Plus,Premium,Premium,3191584050,,https://lincolnhillsvet.com/,lincolnhillsvet.com,472669267,19692061,43244299,15339016,Enterprise
RPVH - Allure Veterinary Partners,Daniel/Tom,10,8,1,Premium Plus,Premium Plus,Premium,Premium,5521115946,,https://allureveterinarypartners.com/,allureveterinarypartners.com,,19549946,,,Enterprise
Coal Creek Animal Hospital,Daniel,7,5.5,1,N,N,Premium Plus,Foundation,1470292023,,https://www.coalcreekanimalhospital.com/,coalcreekanimalhospital.com,428167220,19374562,39578092,14384050,Growth
Dallas Highway Animal Hospital,Melissa/Stephanie,7,5.5,1,Premium,Foundation,Premium Plus,N,6226032149,,https://www.dhah.org/,dhah.org,491472607,19872413,47245052,15938859,Growth
Easton Vet Clinic and Rehab Center,Alex,4,4,0,N,N,Premium Plus,Foundation,7651098746,,https://www.eastonvetclinic.net/,www.eastonvetclinic.net,,16812933,31967291,11864573,Core
Daniels Family Funeral Services,Alex,5,5,0,N,N,Premium Plus,N,Needs added,,https://www.danielsfuneral.com/,danielsfuneral.com,,12614803,,,Growth
Long Meadow Veterinary Clinic/Animal ER of Northwest Houston,Alex,3,3,0,N,N,Premium Plus,N,Check on services,,https://www.animalernwh.com/,#N/A,502831217,19895756,44085032,16043569,Core
Hancock Animal Hospital & Rehabilitation Center,Alex,5,5,0,N,Premium,Premium Plus,N,8752056227,,https://www.hancockanimalhospital.com/,#N/A,348002551,18858678,,,Growth
Edgewater Animal Hospital,Melissa/Stephanie,10,8.5,1,Premium,Premium Plus,Premium Plus,N,Not setup yet,,https://www.edgewateranimalhospital.com/,#N/A,,20062299,47572667,16685955,Enterprise
RPVH - Bayside Animal Hospital,Daniel/Tom,10,8,1,Premium Plus,Premium Plus,Premium Plus,Premium,9321955650,,https://www.baysideanimalhospitalonline.com/,baysideanimalhospitalonline.com,#N/A,,,,
RPVH - Bowman Veterinary Hospital,Daniel/Tom,10,8,1,Premium Plus,Premium Plus,Premium Plus,Premium,verify account,,https://www.bowmanvet.com/,bowmanvet.com,#N/A,,,,
RPVH - Cherry Creek Veterinary Hospital,Daniel/Tom,10,8,1,Premium Plus,Premium Plus,Premium Plus,Premium,1425355262,,https://www.cherrycreekvet.com/,cherrycreekvet.com,#N/A,,,,
RPVH - MarketPlace Veterinary Hospital,Daniel/Tom,10,8,1,Premium Plus,Premium Plus,Premium Plus,Premium,verify account,,https://www.marketplaceveterinary.com/,marketplaceveterinary.com,#N/A,,,,
RPVH - Rocklin Ranch Veterinary Hospital & Urgent Care,Daniel/Tom,10,7,1,Premium Plus,Premium Plus,Premium Plus,Premium,5038594740,,https://www.rocklinranchvet.com/,rocklinranchvet.com,,4245057,,,
RPVH - Rocklin Ranch Veterinary Hospital at Pacific Street,Daniel/Tom,10,8,1,Premium Plus,Premium Plus,Premium Plus,Premium,5222988341,,https://www.rocklinranchvet.com/,rocklinranchvet.com,#N/A,,,,
RPVH - Sunrise Boulevard Animal Hospital,Daniel/Tom,10,8,1,Premium Plus,Premium Plus,Premium Plus,Premium,2172613201,,https://www.sbahvet.com/,sbahvet.com,#N/A,,,,
Aspire Veterinary Center,Alex,3,3,0,N,Foundation,Foundation,Premium,Different account,,https://aspirevetcenter.com/,aspirevetcenter.com,,20142846,46988520,17258005,Core
